Time,Centre posn X,Centre posn Y,In top,In left,In right,In center
0:01:00.40,318,210,0,0,0,1
0:01:00.50,316,211,0,0,0,1
0:01:00.64,315,211,0,0,0,1
0:01:00.76,315,212,0,0,0,0
0:01:00.89,313,213,0,0,0,0
0:01:01.02,310,209,0,0,0,1
0:01:01.16,304,198,0,0,1,0
0:01:01.29,298,192,0,0,1,0
0:01:01.43,282,179,0,0,1,0
0:01:01.57,270,170,0,0,1,0
0:01:01.70,257,160,0,0,1,0
0:01:01.84,231,140,0,0,1,0
0:01:01.98,221,134,0,0,1,0
0:01:02.12,220,132,0,0,1,0
0:01:02.27,222,132,0,0,1,0
0:01:02.39,225,134,0,0,1,0
0:01:02.54,228,136,0,0,1,0
0:01:02.67,228,135,0,0,1,0
0:01:02.80,230,135,0,0,1,0
0:01:02.94,233,135,0,0,1,0
0:01:03.07,232,137,0,0,1,0
0:01:03.20,231,138,0,0,1,0
0:01:03.34,231,138,0,0,1,0
0:01:03.47,231,138,0,0,1,0
0:01:03.61,234,138,0,0,1,0
0:01:03.76,237,139,0,0,1,0
0:01:03.89,238,139,0,0,1,0
0:01:04.02,236,138,0,0,1,0
0:01:04.17,236,140,0,0,1,0
0:01:04.30,234,139,0,0,1,0
0:01:04.44,223,130,0,0,1,0
0:01:04.58,211,123,0,0,1,0
0:01:04.71,202,116,0,0,1,0
0:01:04.86,176,98,0,0,1,0
0:01:04.99,165,90,0,0,1,0
0:01:05.09,155,84,0,0,1,0
0:01:05.23,149,79,0,0,1,0
0:01:05.37,153,80,0,0,1,0
0:01:05.52,156,80,0,0,1,0
0:01:05.66,152,79,0,0,1,0
0:01:05.81,150,78,0,0,1,0
0:01:05.94,147,75,0,0,1,0
0:01:06.07,149,76,0,0,1,0
0:01:06.22,150,76,0,0,1,0
0:01:06.32,150,77,0,0,1,0
0:01:06.46,150,79,0,0,1,0
0:01:06.56,150,79,0,0,1,0
0:01:06.68,146,77,0,0,1,0
0:01:06.82,145,77,0,0,1,0
0:01:06.96,151,81,0,0,1,0
0:01:07.09,153,80,0,0,1,0
0:01:07.22,154,80,0,0,1,0
0:01:07.35,155,82,0,0,1,0
0:01:07.47,160,85,0,0,1,0
0:01:07.61,166,88,0,0,1,0
0:01:07.75,180,100,0,0,1,0
0:01:07.87,192,108,0,0,1,0
0:01:08.02,203,118,0,0,1,0
0:01:08.15,229,136,0,0,1,0
0:01:08.29,242,148,0,0,1,0
0:01:08.43,265,166,0,0,1,0
0:01:08.56,274,172,0,0,1,0
0:01:08.69,279,176,0,0,1,0
0:01:08.82,281,178,0,0,1,0
0:01:08.95,283,180,0,0,1,0
0:01:09.09,289,185,0,0,1,0
0:01:09.23,303,193,0,0,1,0
0:01:09.37,303,193,0,0,1,0
0:01:09.47,305,195,0,0,1,0
0:01:09.61,306,195,0,0,1,0
0:01:09.75,307,195,0,0,1,0
0:01:09.88,306,194,0,0,1,0
0:01:10.02,312,193,0,0,1,0
0:01:10.15,320,192,0,0,0,1
0:01:10.28,328,191,0,0,0,1
0:01:10.41,341,188,0,0,0,0
0:01:10.55,362,179,0,1,0,0
0:01:10.69,374,173,0,1,0,0
0:01:10.82,402,162,0,1,0,0
0:01:10.95,408,158,0,1,0,0
0:01:11.08,410,159,0,1,0,0
0:01:11.23,408,162,0,1,0,0
0:01:11.36,409,163,0,1,0,0
0:01:11.50,416,161,0,1,0,0
0:01:11.62,435,151,0,1,0,0
0:01:11.76,448,147,0,1,0,0
0:01:11.90,459,142,0,1,0,0
0:01:12.04,482,132,0,1,0,0
0:01:12.18,492,128,0,1,0,0
0:01:12.33,504,122,0,1,0,0
0:01:12.47,504,123,0,1,0,0
0:01:12.63,499,122,0,1,0,0
0:01:12.77,499,123,0,1,0,0
0:01:12.91,499,122,0,1,0,0
0:01:13.05,501,120,0,1,0,0
0:01:13.15,504,117,0,1,0,0
0:01:13.30,506,117,0,1,0,0
0:01:13.41,507,116,0,1,0,0
0:01:13.55,509,117,0,1,0,0
0:01:13.73,504,121,0,1,0,0
0:01:13.86,509,118,0,1,0,0
0:01:14.01,511,117,0,1,0,0
0:01:14.11,511,117,0,1,0,0
0:01:14.34,513,119,0,1,0,0
0:01:14.48,515,115,0,1,0,0
0:01:14.58,511,115,0,1,0,0
0:01:14.69,501,117,0,1,0,0
0:01:14.82,498,120,0,1,0,0
0:01:14.96,501,119,0,1,0,0
0:01:15.09,500,119,0,1,0,0
0:01:15.23,496,120,0,1,0,0
0:01:15.36,497,122,0,1,0,0
0:01:15.49,497,122,0,1,0,0
0:01:15.63,498,122,0,1,0,0
0:01:15.75,497,122,0,1,0,0
0:01:15.89,494,123,0,1,0,0
0:01:16.02,493,125,0,1,0,0
0:01:16.16,491,126,0,1,0,0
0:01:16.29,486,127,0,1,0,0
0:01:16.43,474,135,0,1,0,0
0:01:16.57,461,140,0,1,0,0
0:01:16.68,448,145,0,1,0,0
0:01:16.78,434,150,0,1,0,0
0:01:16.92,415,161,0,1,0,0
